,title,link,description
0,<b>빅데이터</b> 정의,https://terms.naver.com/entry.naver?docId=1691554&cid=42171&categoryId=42183,"<b>빅데이터</b>란 디지털 환경에서 생성되는 <b>데이터</b>로 그 규모가 방대하고, 생성 주기도 짧고, 형태도 수치 <b>데이터</b>뿐 아니라 문자와 영상 <b>데이터</b>를 포함하는 대규모 <b>데이터</b>를 말한다. <b>빅데이터</b> 환경은 과거에 비해... "
1,<b>빅데이터</b>란,https://terms.naver.com/entry.naver?docId=3386304&cid=58370&categoryId=58370,<b>빅데이터</b>의 등장] 오늘날 정보통신 분야에서의 화두는 단연 <b>빅데이터</b>이다. <b>빅데이터</b>는 기존 <b>데이터</b>보다 너무 방대하여 기존의 방법이나 도구로 수집/저장/분석 등이 어려운 정형 및 비정형 <b>데이터</b>들을... 
2,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3575873&cid=59088&categoryId=59096,답은 대용량 <b>데이터</b>의 활용과 <b>빅데이터</b>(Big Data) 분석에 있다. 정보의 홍수속에서 이제 <b>데이터</b>는 새로운 ‘원유’라는 평가를 받고 있다. 미국 국세청은 2011년 대용량 <b>데이터</b>와 IT기술을 결합해 ‘통합형 탈세... 
3,<b>빅데이터</b> 활용,https://terms.naver.com/entry.naver?docId=1691555&cid=42171&categoryId=42183,"<b>빅데이터</b> 활용의 선두 주자는 기업이다. 특히 검색과 전자상거래 기업은 방대한 고객 <b>데이터</b>를 분석해 다양한 마케팅 활동을 하고 있다. 구글의 자동번역 시스템, IBM의 슈퍼컴퓨터 '왓슨', 아마존의 도서... "
4,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3534390&cid=58540&categoryId=58540,"<b>빅데이터</b>는 <b>데이터</b>에 관한 것이 아니다! &quot;Big Data is not about the data!&quot; &quot;<b>데이터</b>는 많고 구하기 쉽지만 실제 가치는 <b>데이터</b> 분석에 있다.&quot; - Gary King, Harvard University - [<b>빅데이터</b>란?] <b>빅데이터</b>(big data)란 대규모... "
5,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=4383226&cid=59941&categoryId=59941,[<b>데이터</b> 수가 이렇게 많은 이유는 무엇일까요?] 요즘 우리가 살아가는 모습을 살펴볼까요? 메신저... 이러한 <b>데이터</b>를 <b>빅데이터</b>라고 합니다. <b>빅데이터</b>에 대해 언급되는 대표적인 특징으로 3V가 있답니다. 큰... 
6,<b>빅데이터</b>의 3가지 특징,https://terms.naver.com/entry.naver?docId=3331508&cid=57613&categoryId=57613,"<b>빅데이터</b>는 ‘큰 <b>데이터</b>’를 말한다. 단순히 큰 <b>데이터</b>가 아니라 부피가 크고, 변화의 속도가 빠르며, 속성이 매우 다양한 <b>데이터</b>라는 세 가지 특징을 가진 큰 <b>데이터</b>를 <b>빅데이터</b>로 정의하고 있다.... "
7,<b>빅 데이터</b>,https://terms.naver.com/entry.naver?docId=2274739&cid=42171&categoryId=51120,전문가들은 <b>데이터</b>를 분석하는 <b>빅 데이터</b>가 인터넷 이후 기업에 가장 큰 영향을 미칠 것으로 보고 있다. 그런데 우리 기업은 엄두도 못 내고 있다. 해외 유수 기업들은 이미 <b>데이터</b> 분석을 통해... 
8,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=2070341&cid=55570&categoryId=55570,디지털 혁명과 소셜미디어의 등장으로 <b>데이터</b>가 급증하고 있다. 2012년 전 세계에서 생성된 <b>데이터</b> 규모는 1.8조 기가바이트로 이를 DVD에 저장하면 지구에서 달까지 두 번 쌓을 수 있을 만큼 방대한 양이다.... 
9,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3609914&cid=58598&categoryId=59316," 디지털 환경에서 생성되는 부피가 크고, 변화의 속도가 빠르며, 속성이 매우 다양한 <b>데이터</b>.  컴퓨터나 스마트폰 사용의 증가로 디지털 환경이 조성되면서, 사용되는 정보의 양과 규모가 엄청나게... "
10,<b>빅데이터</b> 맥락의 법칙,https://terms.naver.com/entry.naver?docId=3378547&cid=42266&categoryId=58233,"기술 발달에 따라 <b>데이터</b>의 활용 영역이 소비자 동영상이나 소셜 네트워크와 같은 비구조적 영역까지 넓어진 것이 <b>빅데이터</b>다. <b>빅데이터</b>로 새로운 차원에서 소비자 행동을 분석할 수 있고, 좀 더 정교한 미디어... "
11,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=973161&cid=43667&categoryId=43667," <b>데이터</b>의 생성량·주기·형식 등이 방대한 <b>데이터</b>로, 각종 센서와 인터넷의 발달로 <b>데이터</b>가 급증하면서 등장한 것이다. 초대용량의 <b>데이터</b> 양(volume), 다양한 형태(variety), 빠른 생성 속도(velocity) 등을... "
12,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3436249&cid=42346&categoryId=42346,"기존의 관리 방법이나 분석 체계로는 처리하기 어려운 방대한 양의 정형, 반정형, 비정형 <b>데이터</b> 집합. 또는 이러한 <b>데이터</b> 집합을 수집, 저장, 관리, 분석, 시각화하는 정보통신 기술 분야.... "
13,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=2842701&cid=40942&categoryId=32828," 기존의 <b>데이터</b>베이스 관리도구가 처리할 수 있는 역량을 넘어서는 정형·반정형·비정형 <b>데이터</b>세트(data set)의 집적물, 그리고 이로부터 경제적으로 필요한 가치를 추출 및 분석할 수 있는 기술을... "
14,<b>빅데이터</b>,https://terms.naver.com/entry.naver?docId=3473615&cid=58439&categoryId=58439,"기존 <b>데이터</b>베이스 관리도구로 <b>데이터</b>를 수집, 저장, 관리, 분석할 수 있는 역량을 넘어서는 대량의 정형 또는 비정형 <b>데이터</b> 집합 및 이러한 <b>데이터</b>로부터 가치를 추출하고 결과를 분석하는 기술을... "
